what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332667956209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332667960543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332667968689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332667969076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332667969953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1332667975482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332667978183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332667978670
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332667980755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332667986921
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332668012671
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332668017970
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332668024002
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332668024777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668026645
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668066857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668068784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668071069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332668075904
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332668079563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668080190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668080359
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332668082899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668083916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668084089
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332668086180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668098800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668101698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668105975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668108484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668112116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668115597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668117302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668120757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668129174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668131853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1332668139640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668141348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332668146015
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668146889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668148260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668158075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668253141
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332668276841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668279911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668286502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668287532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668301167
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332668302149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332669454149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332669454677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332669455556
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332669461823
