what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700410291
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332700413409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700415492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700415742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332700418745
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700439373
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700442691
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700443486
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1332700444022
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700446508
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700450251
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700453160
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332700456723
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700463718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332700507651
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700514091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700514192
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332700516765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700517869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700518049
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332700521193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700523755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700524146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332700525472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700578420
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700582551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332700614658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700617347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332700625185
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700627903
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332700630497
