what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508292424
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508306296
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332508320097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508321641
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508321824
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508323440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508326638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508332143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508333851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508343330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508345930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508348327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508370924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508373035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508392948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508420627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508435955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508436706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508439645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508457832
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508460592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508474413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508475762
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332508506093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508507153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508507510
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332508509734
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332508518849
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508519650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508519877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1332508534131
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332508538390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508565961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508622282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508630525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508638301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508640860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508642695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1332508649402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332508651485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508651937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508663550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508667386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508685706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508687674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508691264
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508695176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508697296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508701617
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1332508711059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508768170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508770067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508772228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508788562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508795359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508797113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508808344
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508902019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508905637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508911209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508912172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508916525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508917310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508918860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508922984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508924130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508924771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508937255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508943821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508945650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508946584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332508948918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332508978521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509016066
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509025753
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509045104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509113248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509145583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509218144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509231348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509304501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509372231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509381168
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509395391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509398552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509415699
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332509424588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509435314
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509446627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509450000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509557692
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332509559901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509617012
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509626107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509727899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509728792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509730289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509772330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509777670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509780692
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509782674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509784922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509807332
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509808270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509820618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509821405
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509848079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509848992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509859163
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509859963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509864329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332509866067
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509873254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332509968693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510000540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510001463
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510002928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510004968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510007897
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510053766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510254300
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510256467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510268148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510270509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510275778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510310997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510312754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510346663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510357230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510359923
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510363145
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510366319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332510367535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510403740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510407269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510409175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510452334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332510488482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332511028944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332511040067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332511043147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332511049705
