what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333025758204
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1333025758204
java.specification.name,sysinfo,,,"Java Platform API Specification",1333025758204
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333025758204
java.specification.version,sysinfo,,,"1.6",1333025758204
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333025758204
java.version,sysinfo,,,"1.6.0_21",1333025758204
java.vm.info,sysinfo,,,"mixed mode",1333025758204
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333025758204
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333025758204
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333025758204
java.vm.specification.version,sysinfo,,,"1.0",1333025758204
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333025758204
java.vm.version,sysinfo,,,"17.0-b17",1333025758204
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025885808
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025885850
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1333025889162
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025893932
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025893933
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1333025895251
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009241320,"org.eclipse.cdt.make.core",1333025908816
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009241320,"org.eclipse.cdt.managedbuilder.core",1333025908854
started,bundle,org.eclipse.cdt.core,5.2.1.201009241320,"org.eclipse.cdt.core",1333025908898
started,bundle,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui",1333025908998
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009241320,"org.eclipse.cdt.make.ui",1333025908999
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1333025913987
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025914097
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025914142
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1333025914143
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025919880
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025919880
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1333025924764
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025926619
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025926675
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1333026187830
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1333026187830
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1333026187838
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1333026187865
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1333026187878
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1333026187888
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1333026187891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333026188064
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.200.v20100503,"org.eclipse.equinox.p2.updatesite",1333026201182
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333026287788
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1333026287800
