what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332665635190
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665636898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665638081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665638453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665655118
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332665672759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665681921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665689138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665689814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665753575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332665758687
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332665763034
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665765154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665775951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665778534
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665778601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665779513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665781726
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332665784068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665860949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332665863149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332665863916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332666010358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332666053099
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332666060979
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332666072152
