what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692662380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692671339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692718315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1332692730555
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332692731441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692742075
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332692748052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692749412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692749600
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692751079
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692783110
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332692840387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692856880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692862568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692862685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692862823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692864955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692869394
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692869478
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332692869480
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332692872607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692875083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692876138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692880758
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692910718
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332692915549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692917578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692917754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692919667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692950843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692955739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332692959914
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332692991528
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332693001724
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1332693018999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332693020328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332693057242
