what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719632310
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719632378
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719635864
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719635865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719760341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719871103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719872566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719898209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719903487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719910183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719910821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719911830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719912189
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719930916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719931518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719932061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719932445
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332719943117
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719944923
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719971982
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719980461
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719981781
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719982756
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719983311
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719985192
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332719991688
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332720089931
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332720093906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720191240
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720193419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720215630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720362655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720384158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720384296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720384346
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720392381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720435623
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720438441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720441011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720442038
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332720448258
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720450451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720453701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720453870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720453905
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720454972
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720459085
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332720460363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1332720462401
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720465207
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720468657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720470725
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720476447
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720512159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720517168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720557424
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1332720563796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332720565528
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720566558
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332720572029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720572966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720573133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720574062
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332720575979
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332720585327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332720585641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332720586056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332720603834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720607346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720611761
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720615003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720617149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720631199
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720632102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720632677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720632989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720648236
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332720650626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332720671471
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720680806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720684335
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720684869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720685413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720685781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720702631
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720703301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720704253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720704646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720715421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332720718117
