what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332590945033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332590970693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590973053
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590973152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590976216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590976296
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332590977528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590977956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332590982978
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332590989309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591024933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591024967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332591024971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591057800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591074310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332591112510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332591112949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332591113326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332591149720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332591164816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591176409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591192766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332591195369
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332591197407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591207023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591215786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591217553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591220124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591221865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591226119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332591227082
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332612845724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332612846977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332612929093
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332612944433
