what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752496084
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332752496595
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1332752496753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752523031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752534092
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752547331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752550070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752552136
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752556001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752559313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752561956
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752566497
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752569542
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752577892
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752578671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752578827
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752585864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752586781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752586918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332752588321
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752629458
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332752633076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332752639040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1332752646311
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752650017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752654237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752660549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752662438
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332752671643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332752672549
